age,credit_score,loan_amount,loan_term_months,employment_length_years,annual_income,debt_to_income_ratio,open_accounts,delinquency_history,loan_default
19,803,46431.71,36,17,102910.64,0.24,5,0,0
37,740,12497.46,60,1,126608.78,0.37,8,0,0
45,493,20566.48,12,7,25405.26,0.27,8,0,1
64,691,8468.38,24,10,84756.89,0.45,6,0,0
24,325,49631.69,24,32,109610.35,0.14,2,1,0
61,734,46423.05,60,37,52800.55,0.04,8,0,0
25,472,27457.9,12,26,60010.22,0.19,11,0,0
64,599,42259.63,48,19,99772.93,0.29,6,0,1
52,625,26526.94,36,11,136731.59,0.11,6,1,0
31,709,31555.7,12,30,125290.17,0.22,8,0,1
34,417,5367.1,24,26,95806.93,0.25,1,1,0
53,524,38008.25,60,31,114928.82,0.04,2,0,0
67,831,7257.96,60,9,67426.92,0.35,12,0,0
57,412,41477.31,36,2,103325.52,0.53,12,2,1
21,439,39319.38,60,26,80603.61,0.1,9,0,1
19,300,35728.49,60,34,44691.7,0.36,11,0,1
23,389,2771.86,12,30,111225.98,0.4,12,2,1
59,619,15853.29,48,14,92340.4,0.26,8,1,0
21,849,13892.52,36,15,66620.81,0.42,12,0,0
46,438,18646.68,12,12,138474.09,0.25,7,1,0
35,810,5294.49,48,34,22721.44,0.31,7,1,0
43,558,46910.93,12,10,61050.51,0.01,5,0,1
61,309,28136.31,12,20,27394.58,0.42,2,2,1
51,560,15970.69,60,10,119648.55,0.4,11,0,0
27,471,20452.09,48,29,111273.97,0.03,6,1,0
53,312,22912.92,36,34,63075.79,0.23,10,2,0
31,467,30429.12,36,21,107836.18,0.59,3,0,1
48,620,26268.29,48,37,71471.84,0.26,4,0,0
65,618,46050.21,60,30,118312.99,0.31,13,1,1
32,628,25351.21,24,13,79043.88,0.55,10,0,0
25,849,49615.74,12,23,73596.36,0.43,12,0,1
31,718,42719.82,60,31,141514.89,0.35,11,0,0
40,394,11217.02,48,35,52614.28,0.48,2,0,0
57,617,46599.17,12,31,35658.15,0.52,14,0,1
38,535,6701.95,36,14,95990.6,0.28,2,3,0
33,633,41055.04,24,34,146011.84,0.29,12,0,0
62,675,19650.54,36,2,69119.1,0.24,8,1,0
35,758,44020.74,48,15,28064.78,0.58,8,1,0
64,436,43534.78,12,4,64109.68,0.42,10,0,1
41,846,40490.34,48,20,85771.12,0.06,6,2,0
43,812,39711.49,12,9,41049.99,0.52,13,0,1
42,595,15929.28,60,18,105553.29,0.29,5,0,1
62,619,4965.04,24,24,149707.42,0.05,8,0,0
58,648,20746.03,60,3,78726.13,0.33,4,0,0
46,528,9502.7,60,28,66114.71,0.26,11,0,0
32,569,35052.6,48,18,72091.54,0.53,4,1,1
62,590,17958.89,24,1,34969.0,0.13,5,0,1
18,464,48804.9,12,9,134825.57,0.5,1,1,1
42,304,32407.63,12,24,73927.34,0.34,1,1,1
24,678,41301.55,36,19,70345.67,0.04,2,0,1
26,377,7493.71,12,18,105759.74,0.58,14,0,1
41,709,43238.71,48,22,77464.34,0.31,8,1,0
18,431,46215.1,60,23,104270.35,0.18,7,1,1
61,341,24866.03,60,10,27988.02,0.29,10,0,0
25,388,30706.39,60,33,125784.03,0.52,9,0,1
41,701,38475.68,24,27,142265.51,0.19,5,2,0
28,595,9567.09,12,4,104339.5,0.12,2,0,0
68,594,25625.74,48,4,144093.57,0.09,7,0,1
34,825,20534.49,24,20,39686.2,0.19,8,0,0
25,721,8172.33,36,11,82064.1,0.47,12,0,0
52,322,19009.19,48,3,98234.88,0.29,7,2,0
52,442,4340.44,48,19,95625.76,0.14,14,0,0
50,444,2264.78,48,37,72190.03,0.11,7,2,0
22,524,7623.15,60,24,63950.97,0.21,12,0,1
59,802,48192.64,48,13,36487.12,0.56,14,0,0
56,403,27926.95,12,10,70926.52,0.21,5,0,0
58,338,48325.29,48,31,41145.91,0.59,2,0,1
45,497,22192.4,60,10,115467.54,0.3,6,0,0
24,690,16278.99,48,17,47148.02,0.12,4,1,0
26,478,25800.95,36,26,27613.49,0.54,10,0,1
25,747,22536.07,36,17,91807.6,0.28,2,0,0
29,799,6177.57,60,22,97379.87,0.43,12,2,0
51,314,32400.49,12,10,133348.7,0.59,9,0,1
50,588,11585.87,12,20,95007.61,0.04,7,1,0
65,777,31359.81,24,4,64912.51,0.07,6,0,1
40,530,32859.85,60,22,124391.54,0.44,12,0,1
41,719,8449.22,48,24,90236.26,0.18,5,0,0
54,456,4006.13,60,9,30306.44,0.12,3,0,1
52,849,39257.32,24,21,93560.57,0.03,12,1,0
61,740,23530.22,60,18,138042.41,0.02,10,0,0
57,396,3850.03,60,0,71520.64,0.47,10,1,1
39,710,49748.45,24,6,58522.35,0.09,4,0,1
44,588,3831.25,12,3,38651.03,0.29,3,0,0
52,553,35056.73,48,0,39687.92,0.37,12,1,0
18,495,49200.27,24,14,76260.29,0.26,11,0,1
52,821,12719.83,36,39,97438.38,0.03,8,1,0
54,816,7970.22,12,11,30480.0,0.47,3,1,1
64,417,6947.86,36,21,142143.92,0.02,7,0,1
31,458,15860.48,12,21,118167.37,0.46,7,0,1
20,527,5951.24,48,16,96261.11,0.54,7,0,1
18,515,34915.91,48,28,127697.03,0.27,13,1,1
22,314,4052.3,60,13,30424.28,0.33,7,0,1
43,456,25961.68,36,19,81989.05,0.29,14,1,0
31,560,49838.15,12,32,101912.11,0.24,2,0,0
56,456,40884.54,48,14,127724.88,0.53,10,2,1
44,346,31145.75,24,11,121851.04,0.54,3,0,1
26,623,16006.43,48,39,56019.0,0.21,10,0,0
32,429,31570.9,24,19,142314.42,0.37,9,1,0
32,710,26825.03,12,29,36164.96,0.56,3,0,1
43,394,21878.09,48,37,133767.37,0.58,2,1,0
59,591,7404.81,48,2,146222.23,0.31,9,1,0
30,582,44443.61,12,27,43029.96,0.28,13,0,1
68,368,23039.45,48,25,113868.59,0.17,10,0,0
49,310,10536.5,24,29,25237.12,0.58,9,1,1
56,553,19020.21,48,12,72704.97,0.09,4,0,0
66,849,21292.36,36,12,87116.83,0.35,14,1,0
69,433,41549.36,60,1,95483.88,0.18,12,1,1
49,322,36947.1,24,36,141671.84,0.17,9,0,0
21,645,38695.94,36,37,107392.59,0.25,3,2,0
47,601,1540.53,12,1,82566.13,0.6,7,0,0
54,662,21391.55,24,35,125257.75,0.04,7,1,0
40,695,24585.86,60,25,143569.27,0.35,11,1,0
56,517,1940.42,60,10,22868.6,0.06,8,0,1
62,440,13730.85,12,7,147727.77,0.1,10,0,0
32,509,38254.2,12,39,31197.18,0.27,4,0,0
60,759,7718.38,24,21,125870.28,0.31,3,0,0
46,655,27230.2,48,19,56443.52,0.16,3,0,0
53,623,11544.89,12,7,37183.36,0.2,12,0,0
30,432,1593.92,48,28,77181.23,0.06,5,2,0
49,426,12818.87,36,39,103714.36,0.19,11,0,0
24,405,48817.81,60,25,69523.74,0.58,14,0,1
68,677,40275.32,48,29,27093.5,0.57,1,0,1
39,350,48019.26,60,16,97929.95,0.21,10,3,1
45,328,24904.85,48,19,137312.43,0.35,3,0,0
19,761,6377.07,36,15,69818.0,0.55,14,0,0
59,595,27850.01,12,6,48123.26,0.01,6,0,1
62,596,23264.49,36,15,77535.05,0.49,3,0,1
23,706,42373.5,12,26,26287.15,0.57,5,1,1
45,704,5806.05,12,22,126663.39,0.06,9,0,0
45,645,24923.82,60,23,127424.31,0.11,2,0,0
61,719,8352.38,36,8,96440.06,0.58,11,1,1
61,481,16909.12,48,34,65903.38,0.33,2,2,0
37,300,37130.5,36,19,123971.84,0.02,12,1,1
47,670,24324.89,60,36,92109.31,0.16,6,0,0
28,730,19418.53,12,16,127371.2,0.28,6,2,0
45,608,20329.34,60,30,102089.64,0.42,11,0,0
42,436,23512.89,24,7,121972.71,0.44,11,0,1
56,501,39465.81,24,14,97813.19,0.6,8,0,1
50,735,44712.15,48,30,73838.34,0.18,12,0,0
18,612,47811.4,60,29,144532.96,0.33,13,0,1
44,416,39558.27,48,19,90344.8,0.32,11,0,0
69,543,16454.94,48,38,98661.64,0.25,14,1,1
30,836,34718.6,24,11,48663.39,0.11,2,0,1
58,374,22442.55,48,16,101334.6,0.59,9,0,1
20,685,13478.86,24,29,94308.99,0.51,2,1,0
56,509,42202.71,12,28,44028.99,0.3,13,0,0
23,774,2882.89,60,18,27746.32,0.37,1,0,0
25,717,45186.34,48,10,98566.71,0.14,10,1,0
44,646,23612.4,24,33,119280.0,0.33,2,3,0
26,828,32222.87,36,6,88042.18,0.42,12,0,1
54,478,33308.34,48,33,49480.44,0.31,7,0,1
50,481,44860.77,12,19,106647.86,0.59,8,1,1
68,324,32196.81,12,37,30413.74,0.37,5,0,1
59,479,31082.75,36,23,77438.38,0.23,6,1,1
61,800,4265.95,24,9,41237.68,0.47,12,0,0
41,460,26401.99,48,31,43979.68,0.11,1,0,1
32,476,8358.28,24,14,46298.21,0.24,6,0,0
49,584,37134.25,12,36,70271.92,0.21,12,1,1
49,362,26098.87,24,19,26649.53,0.26,8,0,0
41,455,34331.16,12,2,71713.15,0.47,13,0,1
58,768,3041.97,24,36,86521.97,0.3,3,1,0
69,348,5154.81,36,39,82828.26,0.48,11,0,1
66,383,36099.85,60,7,69761.93,0.35,1,1,1
66,660,4532.13,36,39,129089.06,0.21,11,1,0
69,447,4491.58,36,22,38892.47,0.49,4,1,1
29,641,1593.32,60,39,85740.58,0.15,1,0,0
56,775,47868.57,60,10,28065.38,0.14,14,0,0
19,362,37137.91,48,7,29250.24,0.31,8,1,1
20,659,18309.32,48,28,94602.56,0.16,5,1,0
66,626,15530.24,36,29,93582.4,0.02,1,0,0
54,440,18135.46,36,9,134144.36,0.39,14,0,0
66,514,38958.02,12,38,92523.58,0.31,8,1,1
34,734,33407.16,12,27,144772.83,0.27,9,3,0
66,617,10074.58,48,35,26330.33,0.58,10,1,0
19,331,9531.36,48,12,32741.0,0.35,2,0,1
19,584,5821.39,12,31,25728.56,0.52,9,0,1
45,604,33354.83,12,35,44085.99,0.09,8,0,0
40,728,38454.26,24,36,90365.11,0.35,7,0,0
54,776,13987.27,24,25,103924.38,0.52,3,0,0
49,585,2026.3,12,21,25926.07,0.35,2,0,0
50,443,5026.41,24,3,142976.22,0.43,7,0,0
18,723,48425.14,60,30,129481.5,0.23,5,0,1
36,318,15476.79,48,17,58559.62,0.06,6,1,0
19,317,38691.93,48,37,30034.38,0.28,4,0,1
61,670,31608.51,12,23,42085.32,0.24,2,0,0
43,474,19715.04,36,22,36502.77,0.52,9,0,1
49,493,11078.68,12,21,36026.89,0.15,3,1,0
23,801,6947.93,24,1,87413.02,0.58,12,1,0
49,412,31135.64,36,30,51960.17,0.58,14,1,1
21,413,38957.06,24,10,66558.16,0.16,7,0,1
28,521,32551.31,60,27,148635.69,0.22,14,1,1
34,563,26984.8,24,31,108960.85,0.54,8,1,1
55,354,3055.61,60,4,143367.49,0.58,2,0,0
41,757,48455.95,60,37,38532.35,0.27,14,0,0
22,461,40137.0,24,9,69678.13,0.2,6,0,0
69,679,15348.28,24,39,92115.13,0.32,11,2,0
51,386,49018.55,60,23,29978.55,0.42,8,0,1
23,354,30492.2,36,34,20544.37,0.17,7,0,0
39,775,29538.71,60,22,107156.46,0.44,11,1,1
28,477,37655.59,48,16,103436.54,0.04,3,0,0
65,690,40776.72,60,0,73402.55,0.04,1,1,0
33,648,33167.45,36,30,83653.73,0.24,14,0,1
50,307,7276.69,48,30,74007.59,0.22,6,1,0
26,612,17575.11,12,33,23120.66,0.2,8,0,0
23,742,46476.1,12,8,63598.31,0.3,6,0,0
33,627,12006.16,36,21,43020.69,0.2,5,0,0
46,353,19236.18,60,12,32795.14,0.12,11,0,0
20,538,22171.77,24,24,144373.66,0.19,12,1,1
37,528,22530.84,36,17,97916.76,0.59,8,2,0
53,350,31034.04,48,11,114725.32,0.25,2,0,1
36,563,47210.72,48,39,60997.29,0.27,12,0,0
43,717,12793.94,12,16,71109.13,0.35,1,2,0
20,395,6953.57,48,14,50800.12,0.59,1,1,1
36,387,10676.05,36,14,32605.54,0.15,14,1,0
37,377,44459.32,48,14,43274.11,0.41,4,0,1
49,587,32644.73,36,38,123676.83,0.43,6,1,1
24,419,15009.43,24,12,108080.95,0.37,13,0,0
69,790,40981.4,12,16,91100.75,0.06,9,0,0
58,751,43207.13,48,31,81761.68,0.41,1,0,1
50,799,42479.2,36,8,139916.46,0.05,12,0,0
57,464,46027.4,60,39,29455.54,0.36,1,1,1
56,481,13359.81,12,19,56478.11,0.45,13,0,0
35,768,37997.05,24,25,65491.92,0.13,13,1,1
57,306,23566.44,36,26,121715.36,0.51,5,0,1
18,629,42257.93,24,20,149026.9,0.03,10,2,0
28,450,36696.04,24,17,51287.17,0.51,5,1,1
45,384,39045.92,48,12,133659.95,0.28,5,1,0
42,446,33151.93,48,15,127980.96,0.14,10,1,1
67,680,9694.01,36,8,49205.46,0.09,6,2,0
40,847,27706.32,60,11,71913.24,0.57,8,0,0
48,584,49248.82,36,37,73257.47,0.05,3,0,0
47,381,46932.02,60,18,147168.69,0.13,9,1,0
59,813,3115.51,24,6,43515.95,0.22,13,0,0
52,822,9075.93,12,34,123890.54,0.38,1,2,0
24,685,7454.71,36,17,63445.05,0.33,4,1,0
33,770,36573.02,36,15,115013.14,0.08,9,0,0
43,418,41071.48,60,38,74601.43,0.18,14,0,1
65,695,11462.06,24,3,95186.77,0.15,8,0,0
69,831,25786.78,24,24,128239.53,0.14,10,1,0
66,560,42194.45,60,31,124541.52,0.25,9,1,1
19,555,36907.28,24,39,132635.01,0.43,1,1,1
18,525,27569.62,48,12,27750.25,0.14,9,1,1
65,352,29927.04,12,16,109966.57,0.23,3,0,0
29,799,25909.67,36,36,38198.36,0.24,11,0,1
22,805,15579.87,12,5,74056.41,0.59,12,0,0
54,663,28686.08,36,18,91316.49,0.57,10,1,1
49,579,34755.38,48,12,72356.13,0.48,9,1,1
26,457,43792.82,24,25,87549.52,0.15,1,0,1
58,358,32178.28,60,13,149548.42,0.05,1,2,1
52,427,38294.96,48,30,37578.25,0.2,9,0,1
36,414,8843.51,12,3,107809.29,0.17,11,0,1
65,508,23616.32,60,38,71480.13,0.31,14,0,0
33,825,1457.25,24,7,37291.27,0.47,6,1,1
20,820,13087.26,48,24,40635.78,0.52,4,0,0
37,536,36596.62,60,12,143405.5,0.51,7,1,1
41,580,49598.69,48,31,134348.19,0.22,5,0,0
50,658,5859.73,48,37,137915.45,0.42,10,0,0
41,500,20673.22,24,37,148899.26,0.19,14,0,0
69,577,40203.48,36,27,47081.0,0.05,7,0,1
28,534,10997.75,60,29,66207.11,0.42,8,0,0
66,793,28199.16,24,2,106998.47,0.02,8,0,1
25,303,36920.49,48,27,82894.33,0.25,1,0,1
53,741,31183.29,24,2,74390.64,0.2,8,1,0
55,328,10213.21,36,33,66515.46,0.42,6,0,0
57,408,18413.84,60,15,97191.48,0.46,4,3,0
37,374,39405.8,36,21,94827.15,0.19,13,0,1
52,445,28157.1,12,31,40989.52,0.49,14,0,1
65,427,1256.25,60,37,81326.18,0.18,12,0,0
42,341,38288.55,36,7,91951.33,0.27,8,1,1
52,655,2730.26,48,7,94137.3,0.44,3,0,0
42,340,37540.96,60,5,47313.94,0.42,13,0,1
46,333,10921.55,60,13,116495.28,0.59,4,0,1
35,316,47945.6,24,31,23275.88,0.14,6,1,1
63,452,19029.1,48,34,66128.14,0.4,11,0,0
35,677,17019.65,12,9,121427.64,0.37,7,0,0
19,641,8295.51,36,2,93306.08,0.55,4,0,1
52,326,15974.61,24,11,53951.12,0.1,4,0,0
33,586,43955.89,36,30,110343.91,0.45,7,1,1
58,467,49820.38,12,28,93760.82,0.35,6,3,1
53,567,19047.17,12,4,123511.67,0.17,13,0,0
50,754,22981.92,60,24,115553.27,0.29,11,0,0
21,700,36381.48,12,30,99314.03,0.21,8,0,0
50,775,44423.59,36,20,83463.1,0.35,1,3,0
31,429,30059.17,48,19,37313.68,0.53,10,1,1
38,662,20184.76,48,38,53973.29,0.35,13,0,0
65,591,21218.47,60,21,74482.93,0.38,11,0,0
37,670,35085.29,36,3,97908.91,0.32,7,0,1
25,328,1157.69,36,12,86782.02,0.04,12,0,0
24,448,31359.88,12,19,57463.99,0.15,7,0,0
20,595,18419.16,36,12,20840.37,0.3,11,0,1
34,310,39915.67,24,16,84511.1,0.19,7,1,1
50,811,5556.54,12,35,57131.38,0.12,7,1,0
65,412,29821.91,24,32,115499.08,0.31,10,2,1
29,486,24567.67,60,0,23113.01,0.2,14,0,1
68,526,32473.95,48,14,96027.62,0.16,10,0,1
39,609,4177.83,60,12,142391.65,0.28,8,0,0
39,397,29419.21,48,16,42673.2,0.09,9,1,1
63,354,28512.74,60,23,81314.43,0.56,9,0,1
47,705,28472.34,36,7,31884.86,0.52,2,3,1
55,368,30570.9,24,26,101338.65,0.43,13,1,1
55,611,34146.93,48,22,91569.12,0.07,13,0,0
62,588,40444.46,12,7,72957.52,0.47,7,0,1
68,847,14221.22,24,7,87779.01,0.49,7,0,1
25,447,41427.42,12,25,136554.71,0.46,4,1,1
44,766,25414.53,24,12,45518.26,0.08,9,0,0
44,543,4775.86,24,38,22933.39,0.39,8,0,1
51,790,3869.0,60,36,132016.44,0.5,12,1,1
38,806,17377.68,48,27,95025.22,0.35,1,1,0
47,664,39459.95,48,24,135785.6,0.39,2,0,1
50,781,35676.37,24,15,97602.88,0.28,13,0,0
45,500,39642.13,36,1,125320.94,0.32,13,0,0
64,453,26346.18,36,17,75857.54,0.03,2,0,1
50,749,22569.75,12,16,117481.79,0.39,12,0,0
22,800,8225.17,12,29,138695.39,0.06,12,2,0
65,372,17081.44,60,38,94375.99,0.27,11,0,1
36,595,22266.95,24,12,43502.07,0.18,8,1,0
21,316,5341.42,12,31,54943.69,0.33,1,0,0
52,516,11809.99,12,28,45823.79,0.09,4,1,0
66,360,30313.04,24,29,52091.41,0.42,10,0,1
34,341,37047.49,60,17,59834.01,0.48,12,0,1
61,324,49919.03,12,12,92167.39,0.11,5,0,1
45,338,46722.55,60,20,96438.91,0.07,9,1,0
47,430,32485.69,48,29,75444.97,0.1,7,0,1
46,797,21641.15,60,20,100004.7,0.53,8,0,1
63,528,32172.69,36,16,30604.74,0.32,14,0,1
23,407,39496.93,36,39,31412.47,0.29,11,2,1
52,471,6798.47,60,18,42337.83,0.07,9,0,0
58,734,21085.34,36,14,87350.07,0.39,13,0,0
54,777,42150.31,48,8,47819.31,0.52,7,0,0
41,401,19807.81,24,9,56826.97,0.5,5,0,0
46,823,29021.74,36,30,72040.67,0.38,13,1,0
66,574,29800.7,36,22,125542.6,0.05,5,0,1
63,343,10039.34,60,29,21802.08,0.08,10,0,0
48,316,18749.54,48,32,104419.25,0.04,11,1,1
52,629,17391.05,24,8,106953.95,0.16,6,0,0
50,796,2283.64,60,0,123825.25,0.09,5,0,0
69,311,2185.4,60,34,141257.88,0.16,13,1,1
38,617,41753.16,48,10,22617.92,0.24,12,2,1
49,515,14380.47,24,33,39991.88,0.57,11,1,1
40,638,26385.86,48,15,135202.27,0.37,9,1,0
50,380,15637.55,24,8,79607.41,0.5,3,0,0
20,784,47093.28,48,31,93396.78,0.43,3,0,0
35,673,13705.54,60,14,106193.54,0.08,7,0,0
42,499,22053.18,60,11,108278.66,0.44,7,1,1
59,836,43763.78,12,32,141126.25,0.17,6,1,0
48,765,42254.74,36,13,149603.42,0.39,3,1,0
20,388,10118.97,48,7,113620.47,0.21,14,0,0
57,567,40329.52,12,7,57338.76,0.6,13,0,1
63,788,23451.16,36,26,134367.81,0.17,7,1,0
41,837,24665.47,48,11,26398.72,0.17,5,0,0
67,346,7540.52,24,0,50040.51,0.56,7,0,1
49,587,4949.47,36,39,136660.14,0.02,2,1,0
64,315,36669.03,60,10,53304.9,0.42,6,0,1
39,700,25326.6,12,38,48684.64,0.44,14,0,0
40,385,22405.68,36,30,37956.29,0.5,8,2,1
19,549,36745.9,36,16,131684.53,0.58,1,0,1
44,690,38510.13,60,32,85007.57,0.59,4,0,0
59,634,8786.5,48,31,107736.12,0.05,11,0,0
19,818,30901.03,24,28,51078.63,0.49,1,0,0
43,436,7632.35,60,20,118545.25,0.39,14,1,1
34,797,37817.38,24,20,118800.72,0.39,1,1,0
57,776,33190.8,48,39,60637.74,0.09,10,1,0
50,522,47874.12,36,22,73388.74,0.39,12,0,0
26,671,4378.94,24,5,47259.74,0.59,14,0,1
60,701,3795.68,12,21,146952.93,0.55,14,0,0
65,742,14827.17,12,37,103928.34,0.27,11,0,0
56,789,13823.58,60,36,141490.7,0.03,8,2,0
46,572,13101.96,48,7,59440.12,0.22,7,0,1
59,825,45406.47,60,34,121645.82,0.5,12,0,1
43,458,13227.76,60,10,119561.62,0.42,10,0,1
52,451,14325.54,60,23,109915.23,0.28,13,0,1
67,487,38210.51,12,20,145533.07,0.04,1,3,1
42,397,23037.25,12,1,71162.19,0.26,11,2,0
41,430,39058.82,60,39,36993.25,0.29,14,0,1
30,470,4202.94,12,18,107322.15,0.56,13,1,0
24,482,24890.99,48,38,114810.27,0.39,2,0,0
53,663,2647.07,60,27,94757.87,0.19,4,0,0
62,338,4070.01,12,16,46886.33,0.32,1,0,1
37,826,45415.44,24,5,85579.27,0.05,3,0,0
18,796,7823.02,60,18,60584.67,0.58,8,2,0
25,815,27088.61,60,37,75570.65,0.22,8,0,0
63,648,21143.68,48,27,103878.41,0.29,8,0,0
33,696,18019.82,36,1,116877.92,0.22,6,0,0
31,460,45091.83,36,37,50189.21,0.41,6,0,1
29,315,2069.35,48,36,72692.3,0.4,5,0,0
68,792,33525.69,48,3,54991.0,0.43,13,0,1
40,725,48206.33,48,21,45822.11,0.17,9,0,0
32,407,28448.24,36,25,121840.34,0.2,4,0,0
45,749,46904.3,48,35,138202.85,0.08,10,0,0
51,610,3560.64,12,12,68130.18,0.4,12,0,0
19,469,21520.87,60,31,117666.26,0.03,12,1,0
49,845,13747.73,60,16,136609.39,0.36,12,1,0
40,713,36810.23,24,35,129996.15,0.52,7,0,1
39,550,49083.56,24,18,43765.74,0.54,1,1,1
68,440,13569.97,60,34,144317.94,0.27,9,0,0
42,573,33054.56,12,39,68967.94,0.28,7,1,0
39,715,10706.78,36,27,64101.29,0.06,10,1,0
39,338,28701.18,36,0,28116.07,0.41,12,0,1
66,328,23732.69,12,17,83202.58,0.49,9,0,1
69,776,48628.26,36,39,34171.77,0.15,7,0,0
59,617,30817.84,48,32,52310.18,0.26,2,2,0
23,544,18125.81,60,11,61202.54,0.5,6,0,1
32,571,6590.69,60,7,125147.42,0.53,10,1,1
60,739,8411.09,12,23,133813.52,0.15,12,0,0
54,538,12040.53,36,15,59320.62,0.33,11,0,0
50,676,13297.37,24,3,131630.76,0.12,4,0,0
25,565,42680.19,24,37,131440.02,0.07,3,2,0
61,658,28499.92,36,26,119404.62,0.55,2,0,1
61,639,26646.15,24,8,39070.36,0.49,6,0,1
22,688,6623.67,12,15,109741.97,0.46,8,0,0
56,302,43146.84,12,11,142853.13,0.04,6,0,1
21,728,36417.9,36,30,108730.26,0.51,9,1,1
23,441,4315.75,24,23,63110.19,0.27,14,0,0
62,675,35683.92,12,13,85075.31,0.21,5,0,1
49,623,27633.37,12,24,103944.26,0.33,2,0,0
69,445,5004.54,48,33,86374.15,0.06,8,0,0
47,592,23456.73,48,2,35593.88,0.46,9,1,0
64,731,24750.12,12,23,60568.33,0.35,14,1,0
52,698,9122.95,36,8,124311.48,0.12,10,0,0
57,643,47339.21,60,25,131984.35,0.12,4,0,0
69,439,42648.79,60,19,37849.0,0.12,6,0,1
33,486,33782.09,12,39,143810.28,0.04,11,0,1
30,360,23652.48,12,9,62746.94,0.36,10,0,0
67,679,21176.51,12,18,106100.79,0.51,8,1,0
59,739,32897.7,36,2,117737.27,0.02,9,0,1
47,618,27726.16,48,23,125553.01,0.04,12,0,0
36,601,4051.38,12,4,142947.46,0.35,5,0,0
34,643,26112.63,12,2,60679.54,0.49,12,0,1
36,310,40513.78,24,26,131605.84,0.2,6,0,0
45,361,23502.75,36,15,37119.3,0.22,11,1,0
43,525,3545.87,12,14,111655.32,0.36,4,0,0
54,452,39527.63,24,34,116457.1,0.17,5,0,1
43,609,10866.83,60,11,108104.02,0.03,7,0,0
40,542,13672.42,12,25,52800.92,0.44,9,1,1
26,792,9070.61,12,33,133495.61,0.38,10,0,0
29,665,17180.54,24,22,41951.6,0.35,11,1,0
18,629,38080.82,36,30,26972.52,0.45,13,1,1
18,406,26449.91,12,19,113270.45,0.41,6,0,1
64,525,11039.18,60,11,81811.84,0.13,14,1,0
51,517,44013.67,12,22,130382.74,0.22,6,0,1
49,805,44099.51,60,3,69841.63,0.08,8,0,0
